N:10880
M:79988
Fixing indices with minimum=1
Unique M:79988
Generating order...
---------------------------
No vertices is 10880
No edges is 79988
---------------------------
Min deg: 0
Max deg: 103
Avg deg: 7.35184
---------------------------
# deg 0: 4
# deg 1: 2467
# deg 2: 1439
# deg 3: 804
---------------------------
# deg>=32: 95
# deg>=64: 6
# deg>=128: 0
# deg>=256: 0
# deg>=512: 0
# deg>=1024: 0
---------------------------

Running with 32 threads 
largest component graph obtained with 10876 vertices 79988 edges -- 79988
starting degree computation
Deg-cent is computed in 3.14489e-05 seconds
Ordering based on degree...
Constructed BP Labels in 0.0115712 seconds
Preprocessing: 0.0153939 seconds
Memory Allocations: 0.270299 seconds
Total Initial Memory: 6189 MB
Init. Data Structures: 0.000514612 seconds
Level 0: 2.46204e-05 seconds
Level 1: 0.0107587 seconds
u=7092, cache_time=3475, prune_time=1988268, alloc_time=8697414, write_time=3560880 
u=8052, cache_time=105696, prune_time=1736182, alloc_time=11779679, write_time=15633 
u=7525, cache_time=3103, prune_time=39983, alloc_time=14105981, write_time=3673 
u=7386, cache_time=5193, prune_time=67392, alloc_time=14161859, write_time=34997 
u=7398, cache_time=8082, prune_time=297181, alloc_time=14140395, write_time=51968 
u=7066, cache_time=3577, prune_time=1202164, alloc_time=12915371, write_time=318220 
u=9404, cache_time=11967, prune_time=3472559, alloc_time=10719142, write_time=121279 
u=7866, cache_time=12029, prune_time=7509366, alloc_time=6728773, write_time=65816 
u=6508, cache_time=62761, prune_time=6143918, alloc_time=5246238, write_time=2650908 
u=7461, cache_time=3028, prune_time=308219, alloc_time=15633664, write_time=194658 
u=7934, cache_time=30623, prune_time=400628, alloc_time=12981423, write_time=1236910 
u=6621, cache_time=14835, prune_time=105357, alloc_time=14907765, write_time=6930 
u=8103, cache_time=485443, prune_time=5907126, alloc_time=290207, write_time=9271 
u=7200, cache_time=13017, prune_time=5660912, alloc_time=6908750, write_time=1703011 
u=7419, cache_time=13656, prune_time=414930, alloc_time=14546583, write_time=76665 
u=7641, cache_time=183467, prune_time=833049, alloc_time=12863833, write_time=8316 
u=7692, cache_time=2682, prune_time=8109587, alloc_time=6410175, write_time=119905 
u=8208, cache_time=6474, prune_time=76316, alloc_time=14315567, write_time=11821 
u=9094, cache_time=3367, prune_time=387080, alloc_time=14209136, write_time=89998 
u=6980, cache_time=332446, prune_time=3717286, alloc_time=5396223, write_time=13495 
u=6939, cache_time=5674, prune_time=291834, alloc_time=14644866, write_time=24644 
u=7682, cache_time=11457, prune_time=815095, alloc_time=12734287, write_time=952916 
u=6530, cache_time=3480, prune_time=58774, alloc_time=14550236, write_time=4248 
u=6836, cache_time=12017, prune_time=6409604, alloc_time=2866314, write_time=4887600 
u=10436, cache_time=155887, prune_time=1941771, alloc_time=11382264, write_time=28814 
u=7567, cache_time=9500, prune_time=247855, alloc_time=14128949, write_time=64086 
u=6838, cache_time=666859, prune_time=3493491, alloc_time=6911144, write_time=2762 
u=5956, cache_time=12971, prune_time=467603, alloc_time=11309309, write_time=3155089 
u=6745, cache_time=441136, prune_time=3635709, alloc_time=5746863, write_time=17292 
u=6408, cache_time=176891, prune_time=4526260, alloc_time=8792811, write_time=35397 
u=8991, cache_time=413196, prune_time=2448528, alloc_time=3014481, write_time=4112 
u=6215, cache_time=9664, prune_time=272121, alloc_time=15136884, write_time=27320 
u=6177, cache_time=14598, prune_time=383190, alloc_time=14126982, write_time=164866 
u=9071, cache_time=16353, prune_time=3550804, alloc_time=10688629, write_time=96929 
u=8717, cache_time=12298, prune_time=391617, alloc_time=14874948, write_time=101324 
u=7947, cache_time=3856, prune_time=530009, alloc_time=14362763, write_time=83713 
u=6428, cache_time=5945, prune_time=516086, alloc_time=11518291, write_time=2926034 
u=6222, cache_time=5625, prune_time=6645372, alloc_time=2401848, write_time=5275273 
u=6112, cache_time=2952, prune_time=2571611, alloc_time=7823887, write_time=3965381 
u=7012, cache_time=3509, prune_time=194108, alloc_time=14166452, write_time=47101 
u=5746, cache_time=3055, prune_time=262538, alloc_time=14404175, write_time=70106 
u=6834, cache_time=5260, prune_time=467049, alloc_time=8849144, write_time=5513288 
u=8209, cache_time=548843, prune_time=3331381, alloc_time=1968467, write_time=10920 
u=8680, cache_time=9229, prune_time=266980, alloc_time=13921115, write_time=4709 
u=6639, cache_time=16774, prune_time=92598, alloc_time=14845721, write_time=20065 
u=7255, cache_time=5023, prune_time=9170707, alloc_time=5085009, write_time=218261 
u=6119, cache_time=7708, prune_time=35976, alloc_time=14334717, write_time=13411 
u=9435, cache_time=3032, prune_time=42799, alloc_time=682, write_time=307 
u=9801, cache_time=280685, prune_time=3332759, alloc_time=9731885, write_time=6261 
u=7345, cache_time=3729, prune_time=310229, alloc_time=14328647, write_time=61265 
u=7938, cache_time=35921, prune_time=508266, alloc_time=12776200, write_time=22523 
u=7910, cache_time=84065, prune_time=3442289, alloc_time=9270544, write_time=33849 
u=6951, cache_time=8098, prune_time=63793, alloc_time=14199833, write_time=7292 
u=8391, cache_time=458292, prune_time=2439166, alloc_time=8450171, write_time=23710 
u=8507, cache_time=3161, prune_time=8884961, alloc_time=5249002, write_time=98931 
u=9098, cache_time=764663, prune_time=2985257, alloc_time=3530818, write_time=3542 
u=7957, cache_time=3706, prune_time=258097, alloc_time=14427297, write_time=41482 
u=8975, cache_time=4145, prune_time=10524464, alloc_time=3881760, write_time=121743 
u=8407, cache_time=432975, prune_time=2023180, alloc_time=7678777, write_time=3996 
u=8093, cache_time=326595, prune_time=10181595, alloc_time=20640, write_time=126665 
u=8329, cache_time=346220, prune_time=825389, alloc_time=9079551, write_time=12077 
u=8441, cache_time=131771, prune_time=13629606, alloc_time=43933, write_time=111412 
u=5565, cache_time=16212, prune_time=95109, alloc_time=14960295, write_time=20828 
u=7001, cache_time=11071, prune_time=23805, alloc_time=14265775, write_time=12839 
u=7261, cache_time=172111, prune_time=1405020, alloc_time=12431789, write_time=14249 
